"","IDBASE","TIPOC","tratamiento","trat_nivel","vali_febrero","vali","vali_total","vali_semana","vali_fin","recargas","recar_total","recar_semana","recar_fin","recar_fin","valor_recargas_total","valor_recarga_promedio","sald_promedio_antes","sald_promedio_despues","num_gastos","viajes_sitp","viajes_carro","semana_tratado","GENERO","diff","diff2","P22C","P22M","P3","automovil","moto","no_tiene_medio_trans","bici_pati","trabaja","estudia","casado","strata"
"1",23,"Tratamiento 1",1,2,11.25,12,12,12,0,2,2,2,0,0,22000,11000,6700,17700,3,0,0,20,1,65,NA,6,10,2,0,0,1,0,1,0,0,2
"2",25,"Control",0,0,14.25,28,28,21,7,0,0,0,0,0,0,0,0,0,NA,NA,NA,1000,0,50,NA,1,10,6,1,1,0,1,1,0,1,2
"3",29,"Tratamiento 1",1,2,0,11,11,10,1,2,2,0,2,2,33000,16500,850,17350,1,0,0,21,0,NA,150,NA,NA,7,0,0,1,0,1,1,0,2
"4",36,"Control",0,0,23,9,9,7,2,1,1,1,0,0,20000,20000,0,20000,NA,NA,NA,1000,0,60,NA,2,1,2,0,0,1,0,1,0,0,2
"5",46,"Tratamiento 1",1,2,14,13,13,13,0,2,2,1,1,1,38000,19000,3250,22250,1,1,0,20,1,140,NA,3,5,3,0,0,1,0,1,0,1,2
"6",64,"Tratamiento 1",1,2,20.25,23,23,20,3,3,3,3,0,0,29000,9666.66666666667,1733.33333333333,11400,1,1,0,20,1,80,NA,1,2,4,0,0,1,0,1,0,0,1
"7",76,"Tratamiento 1",1,2,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,21,1,NA,60,NA,NA,4,0,0,1,0,1,0,0,2
"8",82,"Control",0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1000,1,130,NA,3,10,4,0,1,0,0,1,0,0,2
"9",88,"Control",0,0,19.25,16,16,14,2,2,2,2,0,0,25000,12500,2850,15350,3,1,0,1000,1,130,NA,6,15,4,0,0,0,1,1,0,0,2
"10",90,"Tratamiento 2",1,1,4.75,6,6,6,0,2,2,1,1,1,10000,5000,4500,9500,1,1,0,21,1,95,70,6,10,8,0,0,1,0,1,0,1,2
"11",111,"Control",0,0,4.25,14,14,14,0,1,1,1,0,0,50000,50000,700,50700,1,2,0,1000,1,NA,60,NA,NA,1,0,0,1,0,1,0,0,2
"12",118,"Tratamiento 1",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,31,1,110,NA,1,2,5,0,0,1,0,1,0,0,3
"13",121,"Tratamiento 1",1,2,8.5,2,2,2,0,0,0,0,0,0,0,0,0,0,2,1,0,21,1,75,NA,3,8,4,0,0,0,1,1,0,1,2
"14",127,"Control",0,0,0,12,12,12,0,0,0,0,0,0,0,0,0,0,1,1,0,1000,1,60,NA,7,5,4,0,1,0,0,1,0,0,2
"15",165,"Tratamiento 2",1,1,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,30,0,150,NA,5,10,7,0,0,1,0,1,0,1,1
"16",183,"Tratamiento 2",1,1,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,20,0,NA,100,NA,NA,4,0,0,1,0,1,0,1,1
"17",185,"Tratamiento 2",1,1,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,21,0,90,NA,10,5,5,0,0,1,0,1,0,0,1
"18",193,"Control",0,0,1.5,0,0,0,0,1,1,1,0,0,5000,5000,0,5000,NA,NA,NA,1000,1,50,NA,4,6,2,0,0,0,1,1,0,0,3
"19",207,"Tratamiento 1",1,2,9.25,9,9,9,0,0,0,0,0,0,0,0,0,0,1,0,0,20,1,60,NA,6,6,5,0,0,0,1,1,0,0,2
"20",224,"Tratamiento 2",1,1,0,15,15,14,1,1,1,1,0,0,21000,21000,5100,26100,NA,NA,NA,25,0,60,NA,NA,NA,3,0,0,1,0,1,0,1,2
"21",230,"Tratamiento 1",1,2,19.75,14,14,12,2,1,1,1,0,0,28000,28000,7950,35950,2,1,0,21,1,105,NA,3,2,6,1,1,0,0,1,0,0,2
"22",240,"Control",0,0,12,25,25,18,7,1,1,1,0,0,50000,50000,3550,53550,1,1,0,1000,1,60,NA,2,5,6,0,1,0,0,1,0,0,2
"23",244,"Control",0,0,11.25,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1000,1,55,NA,8,10,2,1,0,0,0,1,0,0,3
"24",257,"Tratamiento 2",1,1,12,14,14,14,0,2,2,2,0,0,30000,15000,8700,23700,1,1,0,20,0,60,NA,6,7,2,1,0,0,0,1,0,0,2
"25",262,"Tratamiento 2",1,1,12.75,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,25,0,45,NA,6,6,4,0,0,1,0,1,0,1,3
"26",265,"Control",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1000,0,115,NA,1,2,3,0,0,0,1,1,0,0,2
"27",266,"Tratamiento 1",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1000,1,765,NA,5,10,4,0,0,1,0,1,0,0,1
"28",269,"Tratamiento 1",1,2,5.25,3,3,3,0,2,2,2,0,0,9000,4500,475,4975,1,1,0,1000,1,150,120,2,7,5,0,0,1,0,1,0,0,NA
"29",277,"Tratamiento 1",1,2,5.25,11,11,11,0,0,0,0,0,0,0,0,0,0,1,2,0,21,0,120,NA,5,4,6,0,0,1,0,1,0,1,2
"30",340,"Control",0,0,10.75,9,9,9,0,1,1,1,0,0,70000,70000,0,70000,1,1,0,1000,0,120,NA,2,5,4,0,0,0,1,1,0,0,2
"31",350,"Tratamiento 1",1,2,10.25,13,13,12,1,0,0,0,0,0,0,0,0,0,4,2,0,20,1,150,NA,1,5,4,0,0,0,1,1,0,0,2
"32",359,"Control",0,0,3.25,13,13,13,0,2,2,1,1,1,26000,13000,0,13000,NA,NA,NA,1000,1,70,NA,3,5,5,1,1,0,1,1,0,0,2
"33",378,"Tratamiento 2",1,1,16.25,15,15,5,10,1,1,1,0,0,5000,5000,900,5900,NA,NA,NA,21,0,10,110,NA,NA,4,0,0,0,1,1,0,0,2
"34",381,"Control",0,0,2,7,7,7,0,1,1,1,0,0,7000,7000,1500,8500,4,1,0,1000,1,15,NA,2,5,2,1,0,0,0,0,0,0,3
"35",385,"Tratamiento 1",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,21,1,100,NA,10,10,4,0,0,1,0,1,0,1,2
"36",408,"Tratamiento 2",1,1,9,9,9,9,0,1,1,1,0,0,20000,20000,1700,21700,3,1,1,21,1,150,NA,4,20,3,1,0,0,1,1,0,0,2
"37",411,"Tratamiento 2",1,1,16.25,24,24,24,0,1,1,1,0,0,50000,50000,28200,78200,1,2,0,20,1,120,NA,1.5,10,2,0,0,1,0,1,0,0,3
"38",418,"Tratamiento 1",1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1000,1,75,NA,1,4,3,0,1,0,0,1,0,0,1
"39",425,"Control",0,0,1.25,2,2,0,2,1,1,0,1,1,5000,5000,0,5000,NA,NA,NA,1000,1,NA,30,NA,NA,3,0,0,1,0,0,0,0,2
"40",426,"Tratamiento 1",1,2,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,20,1,110,NA,8,30,3,0,0,1,0,1,0,0,3
"41",428,"Tratamiento 2",1,1,9.25,14,14,12,2,3,3,3,0,0,34000,11333.3333333333,7633.33333333333,18966.6666666667,2,0,0,21,1,60,120,1,10,4,0,0,1,0,1,0,0,1
"42",429,"Control",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1000,0,50,120,5,5,3,0,0,1,0,1,0,1,2
"43",434,"Control",0,0,10.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1000,0,NA,150,NA,NA,2,0,0,0,1,0,0,1,2
"44",436,"Control",0,0,1.75,11,11,6,5,0,0,0,0,0,0,0,0,0,2,3,0,1000,0,105,NA,3,10,2,0,0,0,1,0,1,0,1
"45",440,"Control",0,0,13.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1000,0,95,NA,15,20,2,0,0,1,0,1,0,0,1
"46",444,"Tratamiento 1",1,2,2.5,3,3,3,0,1,1,0,1,1,28000,28000,4300,32300,1,2,0,20,1,150,120,10,25,2,0,0,0,1,1,0,0,2
"47",459,"Control",0,0,2,18,18,18,0,1,1,1,0,0,20000,20000,7300,27300,1,0,0,1000,1,NA,60,NA,NA,2,0,0,1,0,1,0,0,2
"48",491,"Tratamiento 2",1,1,0.25,6,6,6,0,0,0,0,0,0,0,0,0,0,2,0,0,26,1,40,60,5,5,4,0,0,0,1,0,0,0,2
"49",493,"Tratamiento 2",1,1,1.75,5,5,5,0,0,0,0,0,0,0,0,0,0,1,1,0,20,1,40,NA,2,5,4,0,0,1,0,1,0,0,3
"50",495,"Tratamiento 1",1,2,0,4,4,4,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,21,1,10,30,NA,NA,2,0,0,1,0,0,0,0,4
"51",497,"Tratamiento 1",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,21,1,150,NA,5,7,10,1,0,0,0,1,0,1,2
"52",510,"Control",0,0,2.25,3,3,3,0,1,1,1,0,0,4000,4000,800,4800,NA,NA,NA,1000,1,30,NA,2,3,4,0,0,1,0,1,0,0,2
