"","salario","horas","iq","kww","educacion","experiencia","trabajo","edad","casado","afro","sur","zona","hermanos","num.naci","educ.madre","educ.padre","lsalario"
"1",769,40,93,35,12,11,2,31,1,0,0,1,1,2,8,8,6.6450911
"2",808,50,119,41,18,11,16,37,1,0,0,1,1,0,14,14,6.694562
"3",825,40,108,46,14,11,9,33,1,0,0,1,1,2,14,14,6.715384
"4",650,40,96,32,12,13,7,32,1,0,0,1,4,3,12,12,6.4769731
"5",562,40,74,27,11,14,5,34,1,0,0,1,10,6,6,11,6.331502
"6",1400,40,116,43,16,14,2,35,1,1,0,1,1,2,8,0,7.2442269
"7",600,40,91,24,10,13,0,30,0,0,0,1,1,2,8,8,6.3969302
"8",1081,40,114,50,18,8,14,38,1,0,0,1,2,3,8,0,6.985642
"9",1154,45,111,37,15,13,1,36,1,0,0,0,2,3,14,5,7.0509901
"10",1000,40,95,44,12,16,16,36,1,0,0,1,1,1,12,11,6.9077549
"11",930,43,132,44,18,8,13,38,1,0,0,0,1,1,13,14,6.8351851
"12",921,38,102,45,14,9,11,33,1,0,0,0,1,2,16,0,6.82546
"13",900,45,125,40,15,4,3,30,0,0,0,0,2,0,12,12,6.8023949
"14",1318,38,119,24,16,7,2,28,1,0,0,1,3,1,10,10,7.1838708
"15",1792,40,118,47,16,9,9,34,1,0,0,1,1,1,12,12,7.491087
"16",958,50,105,37,10,17,2,35,1,0,0,1,1,2,6,8,6.8648481
"17",1360,45,109,39,15,6,9,36,1,0,0,1,3,3,12,10,7.21524
"18",850,40,72,36,11,19,10,38,1,0,0,1,2,3,10,8,6.7452359
"19",830,44,105,29,14,4,7,29,1,0,0,1,3,1,12,0,6.721426
"20",471,44,101,34,12,13,7,31,1,0,0,1,3,2,8,0,6.1548581
"21",1275,40,123,37,14,9,1,31,1,0,0,1,0,1,12,0,7.150702
"22",1615,50,113,49,16,10,4,36,1,0,0,1,2,1,12,12,7.3870902
"23",873,65,95,36,12,14,3,38,1,0,0,1,5,1,10,10,6.771935
"24",2137,45,145,50,16,17,8,38,1,0,0,1,2,1,12,12,7.6671581
"25",1053,38,114,35,16,12,7,32,1,0,0,1,0,1,11,11,6.9593992
